종목코드,종목명,추정수량,현재가,평가금액,비중(%),등락률(%),지분율(%),업종,기준일
002710,TCC스틸,1043259,8690.0,9065920710,0.0022,1.4002333722286986,4.86,,2026-07-22
00104K,CJ4우(전환),68790,130400.0,8970216000,0.0022,1.2422360248447228,1.62,금융,2026-07-22
016580,환인제약,917894,9760.0,8958645440,0.0022,-0.7121057985757906,5.61,,2026-07-22
036890,진성티이씨,684151,13070.0,8941853570,0.0022,0.5384615384615321,3.05,,2026-07-22
005690,파미셀,833333,10720.0,8933329760,0.0022,0.09337068160597539,1.39,,2026-07-22
290650,엘앤씨바이오,145228,61000.0,8858908000,0.0022,-8.682634730538918,0.65,,2026-07-22
029530,신도리코,213333,41050.0,8757319650,0.0022,-0.2430133657351119,2.13,,2026-07-22
078340,컴투스,356989,24500.0,8746230500,0.0022,0.0,2.8,,2026-07-22
119610,인터로조,614284,14090.0,8655261560,0.0021,-1.8802228412256317,7.01,,2026-07-22
002810,삼영무역,400628,21000.0,8413188000,0.0021,-1.4084507042253502,2.15,,2026-07-22
068760,셀트리온제약,221223,38000.0,8406474000,0.0021,-0.6535947712418277,0.52,,2026-07-22
004430,송원산업,679178,12370.0,8401431860,0.0021,2.4006622516556275,2.83,,2026-07-22
072710,농심홀딩스,94637,88700.0,8394301900,0.0021,1.4874141876430214,2.05,,2026-07-22
000670,영풍,245950,34100.0,8386895000,0.0021,1.3372956909361022,1.3,,2026-07-22
097230,HJ중공업,556492,14830.0,8252776360,0.002,2.2758620689655062,0.66,,2026-07-22
213500,한솔제지,1207993,6820.0,8238512260,0.002,-0.8720930232558155,5.21,,2026-07-22
095660,네오위즈,476443,17010.0,8104295430,0.002,-0.8163265306122436,2.17,,2026-07-22
001630,종근당홀딩스,215011,37500.0,8062912500,0.002,-1.832460732984298,5.3,,2026-07-22
096530,씨젠,298246,26900.0,8022817400,0.002,-1.1029411764705843,0.58,,2026-07-22
110990,디아이티,470494,17010.0,8003102940,0.002,0.2948113207547065,2.49,,2026-07-22
107640,한중엔시에스,266385,29550.0,7871676750,0.0019,2.7826086956521667,2.96,,2026-07-22
441270,파인엠텍,1155303,6810.0,7867613430,0.0019,-0.2928257686676372,3.11,,2026-07-22
077360,덕산하이메탈,883117,8860.0,7824416620,0.0019,-6.834910620399581,1.92,,2026-07-22
340570,티앤엘,150972,51000.0,7699572000,0.0019,-3.409090909090906,1.85,,2026-07-22
058970,엠로,543549,13830.0,7517282670,0.0019,2.2928994082840326,5.11,,2026-07-22
122990,와이솔,1252851,6000.0,7517106000,0.0019,-0.33222591362126463,6.45,,2026-07-22
008060,대덕,530303,14160.0,7509090480,0.0018,-2.8140013726835944,1.55,,2026-07-22
241590,화승엔터프라이즈,2410676,3085.0,7436935460,0.0018,0.3252032520325132,6.56,,2026-07-22
006730,서부T&D,774908,9590.0,7431367720,0.0018,1.0537407797681864,1.19,,2026-07-22
253450,스튜디오드래곤,371661,19700.0,7321721700,0.0018,-0.05073566717402889,1.24,,2026-07-22
015750,성우하이텍,1289023,5660.0,7295870180,0.0018,1.2522361359570633,1.6,,2026-07-22
298000,효성화학,123737,58700.0,7263361900,0.0018,-1.0118043844856706,3.27,,2026-07-22
376300,디어유,374480,19160.0,7175036800,0.0018,0.3141361256544517,1.58,,2026-07-22
357120,코람코라이프인프라리츠,1787026,4015.0,7174909390,0.0018,-0.248447204968949,1.82,,2026-07-22
112040,위메이드,466572,15160.0,7073231520,0.0017,-1.4944769330734298,1.38,,2026-07-22
004360,세방,564516,12520.0,7067740320,0.0017,0.6430868167202508,2.9,,2026-07-22
008490,서흥,346730,20200.0,7003946000,0.0017,-3.809523809523807,3.0,,2026-07-22
099190,아이센스,458415,15270.0,6999997050,0.0017,0.7255936675461649,1.66,,2026-07-22
006340,대원전선,571429,12160.0,6948576640,0.0017,2.7027027027026973,0.77,,2026-07-22
352480,씨앤씨인터내셔널,389150,17850.0,6946327500,0.0017,-3.304442036836408,5.08,,2026-07-22
036200,유니셈,899830,7660.0,6892697800,0.0017,-2.171136653895278,2.93,,2026-07-22
010690,화신,863836,7970.0,6884772920,0.0017,2.9715762273901714,2.48,,2026-07-22
104700,한국철강,739857,9260.0,6851075820,0.0017,0.3250270855904569,1.74,,2026-07-22
281740,레이크머티리얼즈,593066,11470.0,6802467020,0.0017,2.685765443151289,0.91,,2026-07-22
084010,대한제강,911388,7460.0,6798954480,0.0017,2.6134800550206227,2.6,,2026-07-22
126720,수산인더스트리,324575,20550.0,6670016250,0.0016,0.7352941176470562,2.28,,2026-07-22
052710,아모텍,428380,15560.0,6665592800,0.0016,-8.25471698113207,2.92,,2026-07-22
006060,화승인더,2764930,2395.0,6622007350,0.0016,-0.2083333333333326,5.12,,2026-07-22
381970,케이카,905543,7170.0,6492743310,0.0016,-0.9668508287292821,1.87,,2026-07-22
005389,현대차3우B,34031,190700.0,6489711700,0.0016,2.6372443487621133,1.44,자동차,2026-07-22
035150,백산,630699,10090.0,6363752910,0.0016,1.5090543259557387,2.92,,2026-07-22
031440,신세계푸드,166667,38150.0,6358346050,0.0016,0.0,4.28,,2026-07-22
065680,우주일렉트로,248521,25500.0,6337285500,0.0016,-0.195694716242667,2.6,,2026-07-22
215000,골프존,162080,39000.0,6321120000,0.0016,0.12836970474967568,2.58,,2026-07-22
200880,서연이화,594732,10560.0,6280369920,0.0015,0.9560229445506607,2.22,,2026-07-22
049070,인탑스,330529,18860.0,6233776940,0.0015,2.2776572668112838,1.94,,2026-07-22
002030,아세아,35388,176100.0,6231826800,0.0015,-0.22662889518413332,1.68,,2026-07-22
009470,삼화전기,268495,22350.0,6000863250,0.0015,0.0,9.37,,2026-07-22
025000,KPX케미칼,120881,49500.0,5983609500,0.0015,0.3039513677811634,2.36,,2026-07-22
210540,디와이파워,554233,10790.0,5980174070,0.0015,0.9354536950420878,5.94,,2026-07-22
140410,메지온,113452,51300.0,5820087600,0.0014,-6.5573770491803245,0.37,,2026-07-22
043370,피에이치에이,536779,10700.0,5743535300,0.0014,-0.5576208178438624,2.56,,2026-07-22
005500,삼진제약,326508,17580.0,5740010640,0.0014,-0.9577464788732448,2.36,,2026-07-22
003300,한일홀딩스,335714,16930.0,5683638020,0.0014,0.5344418052256605,1.08,,2026-07-22
053690,한미글로벌,366807,15320.0,5619483240,0.0014,3.0955585464333746,3.37,,2026-07-22
005610,SPC삼립,153082,36700.0,5618109400,0.0014,-0.1360544217687054,1.78,,2026-07-22
